Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('Beach Street', 'Pierce Street')",-122.4402084,37.8039673,3,3,1,1,0,0,1,1,0,3,0,3,no,None,162.3519416,90.02297699,0.00218554,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Beach Street', 'Scott Street')",-122.4419333,37.80383745,4,4,1,1,0,0,1,1,0,4,0,4,no,None,34.89073636,90.06797266,0.000715667,0,78.05824482,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Belvedere Drive', 'Reed Boulevard')",-122.5131117,37.8986001,4,4,1,1,0,0,1,1,0,4,0,4,no,None,17.2656997,132.1006277,0.483587984,0.000397826,69.87573453,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Belvedere Street', 'Waller Street')",-122.4494766,37.7687379,4,4,1,1,0,0,1,1,0,2,0,2,no,no,162.3914449,90.14973701,0.000590825,7.90E-06,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,4,0,0,4,0
"('Bennington Street', 'Cortland Avenue')",-122.417779,37.739184,4,4,1,1,0,0,1,1,0,4,0,4,no,None,161.4890322,96.78111096,0.279189084,8.91E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Bennington Street', 'Eugenia Avenue')",-122.4176486,37.7404975,3,3,1,1,0,0,1,1,0,3,0,3,no,None,181.3718616,102.8529729,0.25413299,0.000758221,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Benton Court', 'Hacienda Drive', 'Warren Court')",-122.4804911,37.9022199,5,5,1,1,0,0,1,1,0,5,0,5,no,None,145.56769,110.0765391,0.517212194,0,-1,-1,no,0,0,yes,"{'residential': 3, 'cycleway': 5}","{'residential': 3, 'cycleway': 5}",25,25,25,25,0,5,0,0,5,0
"('Bernal Heights Boulevard', 'Carver Street')",-122.409989,37.742772,4,4,1,1,0,0,1,1,0,4,0,4,no,None,69.09446945,120.0598121,0.48696316,0,-1,-1,no,0,0,yes,"{'residential': 2, 'tertiary': 1, 'cycleway': 4}","{'residential': 2, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Bernal Heights Boulevard', 'Folsom Street')",-122.409968,37.74305,4,4,1,1,0,0,1,1,0,4,0,4,no,None,66.89701029,129.4447723,0.496978868,0,-1,-1,no,0,0,yes,"{'tertiary': 2, 'residential': 1, 'cycleway': 4}","{'tertiary': 2, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Bernal Heights Boulevard', 'Nevada Street', 'Powhattan Avenue')",-122.4112148,37.741395,5,5,1,1,0,0,1,1,0,5,0,5,no,None,160.3979372,156.7600353,0.862495815,0.041653439,-1,-1,no,0,0,yes,"{'tertiary': 2, 'residential': 2, 'cycleway': 6}","{'tertiary': 2, 'residential': 2, 'cycleway': 6}",25,25,25,25,0,5,0,0,5,0
"('Bernard Street', 'Jones Street')",-122.4151098,37.7963217,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3992254,90.14375695,0.000835736,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Birch Street', 'Edgewood Avenue', 'Hart Lane')",-122.5484658,37.9003419,5,5,1,1,0,0,1,1,0,5,0,5,no,None,171.4028428,115.2841451,0.758834152,0.11174793,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 2, 'cycleway': 5}","{'tertiary': 1, 'residential': 2, 'cycleway': 5}",25,25,25,25,0,5,0,0,5,0
"('Bliss Road', 'Montgomery Street')",-122.4600243,37.7989225,3,3,1,1,0,0,1,1,0,3,0,3,no,None,125.7050251,90.08104791,0.002272962,0.000168192,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'tertiary': 1, 'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Bocana Street', 'Cortland Avenue')",-122.4186011,37.7392976,4,4,1,1,0,0,1,1,0,4,0,4,no,None,181.6835728,107.5787814,0.215407156,0.00104301,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Bocana Street', 'Eugenia Avenue')",-122.4177766,37.7405667,4,4,1,1,0,0,1,1,0,4,0,4,no,None,180.5064084,108.7114922,0.399461549,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Bocana Street', 'Powhattan Avenue')",-122.4170589,37.7416724,3,3,1,1,0,0,1,1,0,3,0,3,no,None,46.70377844,113.8012108,0.002965202,0,66.3199493,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Bonview Street', 'Cortland Avenue')",-122.4191725,37.7395404,3,3,1,1,0,0,1,1,0,3,0,3,no,None,180.4377593,94.27067596,0.292734275,0.000255451,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Bonview Street', 'Eugenia Avenue')",-122.418347,37.740789,4,4,1,1,0,0,1,1,0,4,0,4,no,None,181.2969482,96.76062037,0.482986824,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Bowling Green Drive', 'Nancy Pelosi Drive')",-122.4603051,37.7703799,3,3,1,1,0,0,1,1,0,3,0,3,no,None,126.1108733,94.47046138,0.553755901,0.175428486,-1,-1,no,0,0,yes,"{'tertiary': 1, 'unclassified': 1, 'cycleway': 3}","{'tertiary': 1, 'unclassified': 1, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('Bradford Street', 'Esmeralda Avenue')",-122.4093976,37.7432297,3,3,1,1,0,0,1,1,0,3,0,3,no,None,16.0870113,76.08618132,1.148750768,0.554276584,20.1525346,-1,no,0,0,yes,"{'tertiary': 2, 'residential': 1, 'cycleway': 3}","{'tertiary': 2, 'residential': 1, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('Brazil Avenue', 'Vienna Street')",-122.429249,37.722026,4,4,1,1,0,0,1,1,0,4,0,4,no,no,186.8245404,90.83460336,0.023541053,0.000306745,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Brewster Street', 'Montcalm Street', 'Mullen Avenue')",-122.406496,37.746595,6,6,1,1,0,0,1,1,0,6,0,6,no,None,188.2252078,143.1051145,0.706615676,0.058704775,-1,-1,no,0,0,yes,"{'residential': 3, 'cycleway': 7}","{'residential': 3, 'cycleway': 7}",25,25,25,25,0,6,0,0,6,0
"('Broadway', 'Jones Street')",-122.4152078,37.7968081,5,5,1,1,0,0,1,1,0,5,0,5,no,None,154.0021364,145.8312491,8.29340135,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 7}","{'residential': 2, 'cycleway': 7}",25,25,25,25,0,5,0,0,5,0
"('Broderick Street', 'Chestnut Street')",-122.44453,37.7997691,4,4,1,1,0,0,1,1,0,4,0,4,no,no,16.42848089,90.05441683,0.004044689,0.001330695,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Broderick Street', 'Francisco Street')",-122.4447194,37.8007045,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3502866,90.07994811,4.48E-05,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Broderick Street', 'Greenwich Street')",-122.4441537,37.7979099,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3523975,90.0524632,2.35E-06,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Broderick Street', 'Jefferson Street')",-122.4454741,37.8044329,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.42629062,90.08855774,0.000335677,6.15E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Brown Street', 'Wyman Avenue')",-122.4728832,37.7876166,3,3,1,1,0,0,2,1,0,3,0,3,no,None,120.2403892,155.8181666,0.599014273,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,1,2,0
"('Buchanan Street', 'Hermann Street')",-122.4267972,37.7706675,4,3,1,1,0,0,1,1,0,4,0,3,no,None,162.409791,90.2100364,0.003388169,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,1,0,3,0
"('Buena Vista Avenue West', 'Haight Street')",-122.4433358,37.7704757,3,3,1,1,0,0,1,1,0,3,0,3,no,None,162.3330734,104.459272,0.467034654,2.79E-05,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Bunker Road', 'Mitchell Road')",-122.5307654,37.8319074,3,3,1,1,0,0,1,1,0,3,0,3,no,None,45.42669083,128.3858096,0.438122103,0.023410089,-1,-1,no,0,0,yes,"{'residential': 2, 'unclassified': 1, 'cycleway': 3}","{'residential': 2, 'unclassified': 1, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('California Avenue', 'Greenhill Road', 'Loring Avenue', 'West California Avenue')",-122.5345863,37.8897037,6,6,1,1,0,0,1,1,0,6,0,6,no,None,165.0450421,135.9953543,1.404338163,0.299271054,-1,-1,no,0,0,yes,"{'residential': 4, 'cycleway': 6}","{'residential': 4, 'cycleway': 6}",25,25,25,25,0,7,0,0,7,0
"('Cameron Way', 'Fitzgerald Avenue')",-122.389139,37.719677,3,3,1,1,0,0,1,1,0,3,0,3,no,None,80.18851855,94.84150585,0.106319943,0.000844879,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Cameron Way', 'Nichols Way')",-122.3885835,37.720151,2,2,1,1,0,0,1,1,0,2,0,2,no,None,143.9414504,92.97371671,0.069439423,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,2,0,0,2,0
"('Cape Court', 'Edgewood Avenue', 'Molino Avenue')",-122.545051,37.900178,4,4,1,1,0,0,1,1,0,4,0,4,no,None,55.06139424,144.2784672,2.036189709,0.072812706,-1,-1,no,0,0,yes,"{'tertiary': 2, 'residential': 2, 'cycleway': 4}","{'tertiary': 2, 'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Carroll Avenue', 'Jennings Street')",-122.391492,37.723914,4,4,1,1,1,1,1,1,0,4,0,4,no,None,198.716741,90.2960638,0.04554097,0,-1,0.289606305,no,0,0,yes,"{'residential': 2, 'cycleway': 6, 'track': 1}","{'residential': 2, 'cycleway': 6, 'track': 1}",25,25,25,25,0,4,0,0,4,0
"('Castro Street', 'Clipper Street')",-122.4338783,37.7488942,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.42289979,90.03804324,0.000626796,6.49E-05,-1,-1,no,0,0,yes,"{'tertiary': 2, 'residential': 1, 'cycleway': 4}","{'tertiary': 2, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Cayuga Avenue', 'Danton Street')",-122.4322389,37.7307946,3,3,1,1,0,0,1,1,0,3,0,3,no,None,169.3479311,90.33224198,0.015710294,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Cayuga Avenue', 'Rotteck Street')",-122.4306086,37.7312425,2,3,1,1,0,0,1,1,0,2,0,3,no,None,169.5415813,91.45892068,0.014817438,0,-1,-1,no,0,0,yes,"{'residential': 1, 'cycleway': 3}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,2,0,0,2,1
"('Center Road', 'Moore Road', 'Murray Circle')",-122.4785668,37.8339052,3,3,1,1,0,0,1,1,0,3,0,3,no,None,92.34778282,102.5660557,0.59585596,0.014906665,-1,-1,no,0,0,yes,"{'unclassified': 2, 'residential': 1, 'cycleway': 4}","{'unclassified': 2, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Central Avenue', 'Haight Street')",-122.4436624,37.7704341,4,4,1,1,0,0,1,1,0,4,0,4,no,None,162.3169816,90.18762572,0.013127156,0.003517674,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Cesar Chavez Street', 'Church Street')",-122.4270648,37.7477059,4,4,1,1,1,0,1,1,0,4,0,4,no,None,16.56111348,90.2447756,0.009147351,9.06E-05,-1,80.15157662,no,2,0,yes,"{'residential': 2, 'cycleway': 4, 'track': 1}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Cesar Chavez Street', 'Sanchez Street')",-122.4292711,37.7475757,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.4234469,90.08224953,0.000312822,8.38E-05,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Chapman Street', 'Nevada Street')",-122.4113491,37.7417517,4,4,1,1,0,0,1,1,0,4,0,4,no,None,117.1894688,96.69454886,0.704723288,0.005192211,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 2, 'cycleway': 5}","{'tertiary': 1, 'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Chenery Street', 'Randall Street')",-122.425578,37.739795,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.50627673,106.9110609,0.055851947,0.000244456,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Chestnut Street', 'Lyon Street')",-122.4474918,37.7993926,3,3,1,1,0,0,2,1,0,3,0,3,no,None,137.9496793,92.15939598,0.036408043,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 3}","{'residential': 2, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('Church Street', 'Clipper Street')",-122.4272181,37.7493021,4,4,1,1,2,0,1,1,0,4,0,4,no,None,160.7886437,90.38367531,0.003648849,8.03E-05,-1,80.16456163,no,4,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 6, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Church Street', 'Day Street')",-122.4266031,37.7428969,4,4,1,1,3,4,1,1,0,4,0,4,no,None,160.7015675,90.52930278,0.023529667,0.000571628,-1,0.62258244,no,5,0,yes,"{'residential': 2, 'cycleway': 5, 'track': 3}","{'residential': 2, 'cycleway': 5, 'track': 5}",25,25,25,25,0,4,0,0,4,0
"('Church Street', 'Duboce Avenue')",-122.4291372,37.7694019,3,3,1,1,8,7,1,1,0,3,0,3,no,None,143.5039067,99.11140112,0.805054458,0.004551956,-1,1.000001411,no,5,0,yes,"{'residential': 2, 'cycleway': 4, 'track': 11}","{'residential': 2, 'cycleway': 3, 'track': 8}",25,25,25,25,1,2,0,1,2,0
"('Church Street', 'Duncan Street')",-122.4269105,37.7460983,4,4,1,1,2,2,1,1,0,4,0,4,no,None,160.8079311,90.19104609,0.019325792,0,-1,0.587377759,no,2,0,yes,"{'residential': 2, 'cycleway': 6, 'track': 2}","{'residential': 2, 'cycleway': 6, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('Church Street', 'Elizabeth Street')",-122.4275209,37.7524598,3,2,1,1,1,3,1,1,0,3,0,2,no,None,163.8475736,90.43049729,0.02483412,0,-1,1.027279866,no,1,0,yes,"{'residential': 2, 'cycleway': 3, 'track': 1}","{'residential': 1, 'cycleway': 2, 'track': 3}",25,25,25,25,0,2,1,0,2,0
"('Church Street', 'Jersey Street')",-122.4273709,37.7508935,4,4,1,1,1,1,1,1,0,4,0,4,no,None,160.7144819,90.08736672,0.001249719,4.35E-05,-1,32.40330368,no,1,0,yes,"{'residential': 2, 'cycleway': 6, 'track': 1}","{'residential': 2, 'cycleway': 6, 'track': 1}",25,25,25,25,0,4,0,0,4,0
"('Church Street', 'Valley Street')",-122.4267568,37.7444981,4,4,1,1,2,2,1,1,0,4,0,4,no,None,160.699435,90.59752459,0.005369061,0,-1,0.596177722,no,0,0,yes,"{'residential': 2, 'cycleway': 6, 'track': 2}","{'residential': 2, 'cycleway': 6, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('Claremont Boulevard', 'Granville Way')",-122.4638205,37.7429327,3,3,1,1,0,0,1,1,0,3,0,3,no,no,87.58516614,106.6496507,0.269580193,0.128128243,-1,-1,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,0,3,0,1,2,0
"('Claremont Boulevard', 'Ulloa Street')",-122.4650396,37.7406481,4,4,2,1,3,4,2,1,0,4,0,4,no,None,165.5520524,122.324151,0.436667675,0,-1,72.37135847,no,0,0,yes,"{'residential': 1, 'tertiary': 1, 'cycleway': 4, 'track': 3}","{'residential': 1, 'tertiary': 1, 'cycleway': 4, 'track': 4}",25,25,25,25,0,4,0,0,4,0
"('Clay Street', 'Webster Street')",-122.432581,37.7909285,3,3,1,1,0,0,1,1,0,3,0,3,no,no,16.44214371,89.91439744,0.000458907,1.59E-05,-1,-1,no,0,0,yes,"{'unclassified': 1, 'residential': 1, 'cycleway': 3}","{'unclassified': 1, 'residential': 1, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('Clipper Street', 'Diamond Street')",-122.436067,37.748762,4,4,1,1,0,0,1,1,0,4,0,4,no,None,160.7012107,90.34995799,0.003616273,7.10E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Clipper Street', 'Dolores Street')",-122.4249378,37.7494336,3,4,2,1,0,0,2,1,0,3,0,4,no,None,162.1309636,90.18349759,0.003300906,0,-1,-1,no,0,0,yes,"{'tertiary': 2, 'cycleway': 5}","{'tertiary': 2, 'cycleway': 6}",25,25,25,25,2,1,0,2,2,0
"('Clipper Street', 'Douglass Street')",-122.4382628,37.7486457,4,4,2,1,0,0,1,1,0,4,0,4,no,None,160.6937027,94.39638784,0.072052361,0.000157458,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",35,25,35,25,0,4,0,0,4,0
"('Clipper Street', 'Noe Street')",-122.43164,37.749028,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.43077358,90.18342515,0.034815593,1.37E-05,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Clipper Street', 'Sanchez Street')",-122.429423,37.749158,4,4,1,1,0,0,1,1,0,4,0,4,no,None,16.45358785,90.40718707,0.000262423,1.45E-06,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('Coleridge Street', 'Coso Avenue')",-122.4181898,37.7460833,4,2,1,1,0,0,1,1,0,4,0,2,no,None,69.52154074,89.52073787,0.73156416,0.000105419,70.0859029,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 1, 'cycleway': 2}",25,25,25,25,2,1,1,1,1,0
"('Coleridge Street', 'Godeus Street')",-122.4205833,37.742375,3,3,1,1,0,0,1,1,0,3,0,3,no,None,180.0518452,90.32660547,0.00318139,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Coleridge Street', 'Heyman Avenue')",-122.4207003,37.7421939,3,3,1,1,0,0,1,1,0,3,0,3,no,None,180.1796793,90.09657097,0.003311324,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Coleridge Street', 'Powers Avenue')",-122.4184135,37.7457402,1,2,1,1,0,0,1,1,0,1,0,2,no,None,86.07613826,89.81297564,0.087617647,0,-1,-1,no,0,0,yes,"{'residential': 1, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,0,1,0,0,2
"('Coleridge Street', 'Virginia Avenue')",-122.420387,37.742679,4,4,1,1,0,0,1,1,0,4,0,4,no,None,180.2247175,90.2346902,0.007408309,0,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('Concourse Drive', 'Hagiwara Tea Garden Drive', 'John F Kennedy Drive')",-122.4665356,37.7725734,3,3,3,1,0,0,2,1,0,1,0,1,no,no,150.2694024,150.5975926,1.495643664,0.010878626,-1,-1,no,0,0,yes,"{'tertiary': 1, 'unclassified': 1, 'cycleway': 1}","{'unclassified': 1, 'tertiary': 1, 'cycleway': 1}",25,15,25,15,0,2,1,0,2,1
"('Congdon Street', 'Silver Avenue')",-122.4259801,37.7286452,3,3,1,1,0,0,1,1,0,3,0,3,no,no,160.6358384,90.96480321,0.022801373,0.000124013,-1,-1,no,0,0,yes,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Conservatory Drive East', 'John F Kennedy Drive')",-122.4568904,37.7710017,3,4,1,1,0,0,1,1,0,1,0,3,no,None,158.5766809,170.8556879,0.984879644,0.033214095,-1,-1,no,0,0,yes,"{'primary_link': 1, 'tertiary': 1, 'cycleway': 1}","{'unclassified': 1, 'primary_link': 1, 'tertiary': 1, 'tertiary_link': 1, 'cycleway': 3}",25,25,30,25,1,2,0,2,1,1
"('Conservatory Drive West', 'John F Kennedy Drive')",-122.4620493,37.7717779,3,3,1,1,0,0,1,1,0,1,0,1,no,None,52.58255105,121.5705094,0.618757503,0.037501279,-1,-1,no,0,0,yes,"{'tertiary': 2, 'cycleway': 1}","{'tertiary': 2, 'cycleway': 1}",25,25,25,25,0,3,0,0,3,0
"('Corbett Avenue', 'Ord Street')",-122.440133,37.76183,5,5,1,1,0,0,1,1,0,5,0,5,no,None,145.7700752,124.599084,0.442178859,0.000312551,-1,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,5,0,0,5,0
"('Cortland Avenue', 'Ellsworth Street')",-122.414628,37.7388864,4,3,1,1,0,0,1,1,0,4,0,3,no,None,160.9519422,96.41215395,0.404299114,0.00851161,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,1,0,3,0
"('Cortland Avenue', 'Elsie Street')",-122.4196411,37.73973035,4,4,1,1,0,0,1,1,0,4,0,4,no,None,180.4330641,90.24678751,0.027331143,0.000104541,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Cortland Avenue', 'Gates Street')",-122.4139949,37.738933,4,4,1,1,0,0,1,1,0,4,0,4,no,None,108.9197544,102.238513,0.452268422,0.096723551,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('Cortland Avenue', 'Moultrie Street')",-122.4158509,37.73899735,4,3,1,1,0,0,1,1,0,4,0,3,no,None,161.1864406,93.32763805,0.029858042,0.001039291,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 5}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,1,0,3,0
"('Cortland Avenue', 'Wool Street')",-122.417139,37.7391217,3,3,1,1,0,0,1,1,0,3,0,3,no,None,161.4800179,93.22259213,0.002399346,0,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('Coso Avenue', 'Precita Avenue')",-122.4183138,37.74670645,3,2,1,1,0,0,1,1,0,3,0,2,no,None,15.78957539,89.99752462,0.65587332,0.000109613,70.14303889,-1,no,0,0,yes,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 2}",25,25,25,25,1,1,1,1,1,0
"('Cowles Street', 'McDowell Avenue')",-122.4670228,37.8016779,3,3,1,1,0,0,1,1,0,3,0,3,no,None,19.61847768,116.0134879,0.587911368,0.013290066,-1,-1,no,0,0,yes,"{'tertiary': 1, 'residential': 1, 'cycleway': 3}","{'tertiary': 1, 'residential': 1, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('Crossover Drive', 'Transverse Drive')",-122.4817656,37.7718843,4,4,2,1,0,0,2,1,0,4,0,4,no,None,141.3311111,164.4924315,0.589088157,0,-1,-1,no,0,0,yes,"{'secondary': 1, 'tertiary': 1, 'secondary_link': 1, 'cycleway': 4}","{'secondary': 1, 'tertiary': 1, 'cycleway': 4}",25,25,25,25,2,1,1,2,2,0
