Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('14th Street', 'Stevenson Street')",-122.4213842,37.768194,1,2,1,1,0,0,1,1,0,1,0,2,yes,None,160.7212867,89.80568274,0.008775693,0.000265051,-1,-1,no,0,0,no,"{'residential': 1, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,0,1,0,0,2
"('14th Street', 'Valencia Street')",-122.4221995,37.7681455,3,3,2,1,0,0,1,1,0,3,0,3,yes,None,160.7102281,90.2368149,0.026383671,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 4}","{'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,0,2,1,0,2,1
"('14th Street', 'Woodward Street')",-122.4207774,37.76823,1,2,1,1,0,0,1,1,0,1,0,2,yes,None,137.5047437,90.33110123,0.001711993,0,-1,-1,no,0,0,no,"{'residential': 1, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,0,1,0,0,2
"('15th Avenue', 'Geary Boulevard')",-122.4739876,37.7805882,4,4,4,1,0,0,2,1,0,4,0,4,yes,None,34.72845166,91.08937835,0.033591696,0,-1,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 5}","{'residential': 1, 'secondary': 1, 'cycleway': 5}",25,25,25,25,2,2,0,2,2,0
"('15th Street', 'Castro Street')",-122.4354937,37.7657356,4,4,1,1,0,0,1,1,0,4,0,4,yes,None,160.7072251,90.03753331,3.70E-05,0,-1,-1,no,0,0,no,"{'primary': 1, 'residential': 1, 'cycleway': 6}","{'primary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('15th Street', 'Folsom Street')",-122.4154813,37.7669359,4,4,1,1,0,0,2,1,0,4,0,4,yes,None,160.7088975,90.08100869,0.000226132,0,-1,-1,no,0,0,no,"{'residential': 1, 'tertiary': 1, 'cycleway': 5}","{'residential': 1, 'tertiary': 1, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('15th Street', 'Guerrero Street')",-122.4242625,37.76640505,4,3,2,1,0,0,2,1,0,4,0,3,yes,None,161.3454865,91.45196888,0.013467299,0,-1,-1,no,0,0,no,"{'secondary': 1, 'residential': 1, 'cycleway': 5}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,2,1,1,2,1,0
"('15th Street', 'Market Street')",-122.4308396,37.7660177,5,5,3,1,4,2,3,1,0,5,0,5,yes,None,141.3361126,139.9044569,0.261579504,0,-1,5.111571039,no,0,0,no,"{'primary': 1, 'primary_link': 1, 'residential': 1, 'cycleway': 5, 'track': 4}","{'primary': 1, 'primary_link': 1, 'residential': 1, 'cycleway': 5, 'track': 2}",25,25,25,25,2,3,0,2,3,0
"('15th Street', 'Minna Street')",-122.4190997,37.7667172,2,1,1,1,0,0,1,1,0,2,0,1,yes,None,131.2916422,89.84675113,0.004431254,0.000125905,-1,-1,no,0,0,no,"{'residential': 2, 'cycleway': 3}","{'residential': 1, 'cycleway': 1}",25,25,25,25,0,0,2,0,0,1
"('15th Street', 'Mission Street')",-122.4198442,37.7666729,3,3,2,1,0,0,2,1,0,3,0,3,yes,None,21.23178649,90.06428927,0.040109145,0,65.62738976,-1,no,0,0,no,"{'residential': 1, 'secondary': 1, 'cycleway': 3}","{'residential': 1, 'secondary': 1, 'cycleway': 3}",25,25,25,25,0,2,1,0,2,1
